,X.3,X.2,X.1,X,name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,contact,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,latitude,longitude,url_status,url_checked
79,79,79,79,98,Hiddenite Family Campground,601 Princess Ln,Hiddenite,NC,28636,5248,Jim,Korte,Owner,8286323815,Campgrounds,721211,NA,NA,NA,NA,Private,Alexander,4,310000,hiddenitecampground.com,2003,601 Princess Ln Hiddenite NC 28636,https://www.hiddenitecampground.com,35.89407969,-81.04143327,Accessible,https://www.hiddenitecampground.com
80,80,80,80,99,Hide-A-Way Campground,525 Shuler Rd # 18,Bryson City,NC,28713,4706,Diane,Larkin,Owner,8284882083,Campgrounds,721211,721214,NA,NA,NA,Private,Swain,1,148000,campgreenbird.com,2007,525 Shuler Rd # 18 Bryson City NC 28713,https://www.campgreenbird.com,35.45343362,-83.3999405,Accessible,https://www.campgreenbird.com
81,81,81,81,100,High Country Motorcycle Camp,765 Stony Fork Rd,Ferguson,NC,28624,8912,Brent,Hollowell,Manager,3369733911,Campgrounds,721211,NA,NA,NA,NA,Private,Wilkes,2,272000,highcountrymotorcyclecamp.com,2006,765 Stony Fork Rd Ferguson NC 28624,https://www.highcountrymotorcyclecamp.com,36.15764748,-81.45397056,Not Accessible,
82,82,82,82,101,High Rock Lake Marina,1013 Wafford Cir,Lexington,NC,27292,6229,Lynn K,Farquhar,President,3367981196,Campgrounds,721211,713930,NA,NA,NA,Private,Davidson,7,613000,highrocklakecampground.com,1998,1013 Wafford Cir Lexington NC 27292,https://www.highrocklakecampground.com,35.68306283,-80.25557244,Accessible,https://www.highrocklakecampground.com
83,83,83,83,102,Hillbilly Campground,4115 Soco Rd,Maggie Valley,NC,28751,NA,Charlotte,Smith,Owner,8289263353,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,2,256000,hillbillycampground.com,1987,4115 Soco Rd Maggie Valley NC 28751,https://www.hillbillycampground.com,35.51788172,-83.0970419,Not Accessible,
84,84,84,84,103,Hitching Post Campground,620 Girls Camp Rd,Mill Spring,NC,28756,9613,Glen,Massengill,Owner,8286250340,Campgrounds,721211,NA,NA,NA,NA,Private,Rutherford,1,96000,hitchingpostcampground.com,1995,620 Girls Camp Rd Mill Spring NC 28756,https://www.hitchingpostcampground.com,35.40544104,-82.21144475,Accessible,https://www.hitchingpostcampground.com
85,85,85,85,104,Hitching Post R V Park,147 Hitching Post Trl,Deep Gap,NC,28618,8930,Jerry,Pearce,Manager,8282645367,Campgrounds,721211,NA,NA,NA,NA,Private,Watauga,2,197000,hprvp.com,1984,147 Hitching Post Trl Deep Gap NC 28618,https://www.hprvp.com,36.22306266,-81.53402973,Accessible,https://www.hprvp.com
86,86,86,86,105,Ho-Hum Campground,47 Ho Hum Loop,Hayesville,NC,28904,6218,David,Reeves,Owner,8284211020,Campgrounds,721211,NA,NA,NA,NA,Private,Clay,2,184000,NA,1998,47 Ho Hum Loop Hayesville NC 28904,,34.99641441,-83.75498591,Not Accessible,
87,87,87,87,106,Holden Beach Fishing Pier,441 Ocean Blvd W,Holden Beach,NC,28462,1937,Guilford,Bass,Owner,9108426483,Campgrounds,721211,449210,487210,NA,NA,Private,Brunswick,6,562000,fishing-nc.com,1979,441 Ocean Blvd W Holden Beach NC 28462,https://www.fishing-nc.com,33.91154511,-78.29733542,Not Accessible,
88,88,88,88,107,Holden Beach RV & Campground,2650 Liberty Ln SW,Supply,NC,28462,2254,Jennifer,Timco,Owner,9108421809,Campgrounds,721211,NA,NA,NA,NA,Private,Brunswick,2,188000,holdenbeachrv.com,1997,2650 Liberty Ln SW Supply NC 28462,https://www.holdenbeachrv.com,33.92967415,-78.28631258,Not Accessible,
89,89,89,89,108,Holiday Trav-L-Park Resort,9102 Coast Guard Rd,Emerald Isle,NC,28594,2444,Ronald O,Watson,Owner,2523542250,Campgrounds,721211,721214,721211,712190,NA,Private,Carteret,11,2559000,htpresort.com,1976,9102 Coast Guard Rd Emerald Isle NC 28594,https://www.htpresort.com,34.66085254,-77.05981821,Accessible,https://www.htpresort.com
90,90,90,90,109,Holland Shelter Creek Outdoor,8315 N Carolina Highway 53,Burgaw,NC,28425,NA,NA,NA,NA,9102593399,Campgrounds,721211,NA,NA,NA,NA,Private,Pender,2,170000,NA,2016,8315 N Carolina Highway 53 Burgaw NC 28425,,34.53755427,-78.06266834,Not Accessible,
91,91,91,91,110,Holly Bluff Family Campground,4846 Nc Highway 49 S,Asheboro,NC,27205,9521,Ramona,Shaw,Owner,3368572761,Campgrounds,721211,NA,NA,NA,NA,Private,Randolph,1,61000,hollybluffcampground.com,1996,4846 Nc Highway 49 S Asheboro NC 27205,https://www.hollybluffcampground.com,35.6443312,-79.95918834,Accessible,https://www.hollybluffcampground.com
92,92,92,92,111,Hollyridge Campground,5140 River Rd,Boonville,NC,27011,8366,Debbie,Cooper,Owner,3363677756,Campgrounds,721211,NA,NA,NA,NA,Private,Yadkin,4,329000,hollyridgecampground.com,1984,5140 River Rd Boonville NC 27011,https://www.hollyridgecampground.com,36.25758701,-80.70901377,Accessible,https://www.hollyridgecampground.com
93,93,93,93,112,Homeplace Recreational Park,258 Homeplace Park Rd,Ararat,NC,27007,8513,Rudy,Key,CEO,3363745173,Campgrounds,721211,713940,712190,NA,NA,Private,Surry,30,1514000,homeplacepark.com,1994,258 Homeplace Park Rd Ararat NC 27007,https://www.homeplacepark.com,36.39571745,-80.5869462,Not Accessible,
94,94,94,94,113,Honey Bear Campground,229 Honey Bear Campground Rd,Boone,NC,28607,8390,Kim,Sky,Partner,8282668914,Campgrounds,721211,NA,NA,NA,NA,Private,Watauga,5,492000,honeybearcampground.com,2004,229 Honey Bear Campground Rd Boone NC 28607,https://www.honeybearcampground.com,36.19538558,-81.71009874,Accessible,https://www.honeybearcampground.com
95,95,95,95,114,Horseshoe Bend Family Cmpgrnd,6675 Nc 181,Morganton,NC,28655,9729,NA,NA,NA,8284388659,Campgrounds,721211,NA,NA,NA,NA,Private,Burke,2,275000,NA,2017,6675 Nc 181 Morganton NC 28655,,35.86713933,-81.79399296,Not Accessible,
96,96,96,96,116,Hounds Campground,114 Raven Dr,Kings Mountain,NC,28086,NA,NA,NA,NA,7047507105,Campgrounds,721211,NA,NA,NA,NA,Private,Cleveland,2,192000,houndsgatewaycampground.com,2013,114 Raven Dr Kings Mountain NC 28086,https://www.houndsgatewaycampground.com,35.27405629,-81.34973381,Accessible,https://www.houndsgatewaycampground.com
97,97,97,97,117,Humphrey's Ridge Family,435 Humphreys Ridge Dr,Stokesdale,NC,27357,8118,Sylvia,Middleton,Owner,3364273949,Campgrounds,721211,NA,NA,NA,NA,Private,Rockingham,8,725000,NA,1984,435 Humphreys Ridge Dr Stokesdale NC 27357,,36.28200834,-80.03256064,Not Accessible,
98,98,98,98,118,Indian Creek Campground,1367 Bunches Creek Rd,Cherokee,NC,28719,6414,Heather,Duvall,Owner,8284974361,Campgrounds,721211,NA,NA,NA,NA,Private,Swain,2,295000,indiancreekcampground.com,2000,1367 Bunches Creek Rd Cherokee NC 28719,https://www.indiancreekcampground.com,35.54833341,-83.23003989,Not Accessible,
99,99,99,99,119,Indian Springs Campground,4361 Whitener Dr,Hickory,NC,28602,8762,Rocky,Cantrell,Owner,8283975700,Campgrounds,721211,NA,NA,NA,NA,Private,Catawba,2,138000,indianspringscampgroundnc.com,2002,4361 Whitener Dr Hickory NC 28602,https://www.indianspringscampgroundnc.com,35.69780012,-81.4184766,Not Accessible,
100,100,100,100,120,Island Hide-A-Way Campground,47095 Buxton Back Rd,Buxton,NC,27920,NA,Ann,Woods,Owner,2529956628,Campgrounds,721211,NA,NA,NA,NA,Private,Dare,2,440000,outerbanks.org,1996,47095 Buxton Back Rd Buxton NC 27920,https://www.outerbanks.org,35.26512295,-75.53040233,Accessible,https://www.outerbanks.org
101,101,101,101,121,Jaymar Travel Park,140 Jaymar Park Dr,Hendersonville,NC,28792,7300,Leon,Welch,Owner,8286853771,Campgrounds,721211,NA,NA,NA,NA,Private,Henderson,2,456000,jaymartravelpark.com,2005,140 Jaymar Park Dr Hendersonville NC 28792,https://www.jaymartravelpark.com,35.36847337,-82.40702462,Accessible,https://www.jaymartravelpark.com
102,102,102,102,122,Jernimans,990 Irvin Garrish Hwy,Ocracoke,NC,27960,NA,NA,NA,NA,2529280308,Campgrounds,721211,NA,NA,NA,NA,Private,Hyde,2,165000,jernimans.com,2019,990 Irvin Garrish Hwy Ocracoke NC 27960,https://www.jernimans.com,35.10800567,-75.97508519,Accessible,https://www.jernimans.com
103,103,103,103,123,Joe & Kay's Campground,1193 Colington Rd,Kill Devil Hills,NC,27948,8022,Michael,Midgette,Owner,2524415468,Campgrounds,721211,NA,NA,NA,NA,Private,Dare,2,440000,NA,1967,1193 Colington Rd Kill Devil Hills NC 27948,,36.01526374,-75.68412635,Not Accessible,
104,104,104,104,124,Jonathan Creek Hideaway,887 Jonathan Creek Rd,Waynesville,NC,28785,7242,Ken,Jobson,Owner,8289260519,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,2,256000,NA,1984,887 Jonathan Creek Rd Waynesville NC 28785,,35.5347605,-83.02821612,Not Accessible,
105,105,105,105,125,Jones Station RV Park,2710 Jones Dr,Mebane,NC,27302,9773,Kay P,Jones,Owner,9195680153,Campgrounds,721211,721211,NA,NA,NA,Private,Alamance,2,194000,jonesstationrvpark.com,2013,2710 Jones Dr Mebane NC 27302,https://www.jonesstationrvpark.com,36.03108814,-79.27951309,Accessible,https://www.jonesstationrvpark.com
106,106,106,106,126,Keep It Wild Campground LLC,2543 Revere Rd,Marshall,NC,28753,4016,William,Snedden,Owner,8280001111,Campgrounds,721211,NA,NA,NA,NA,Private,Madison,2,140000,NA,2015,2543 Revere Rd Marshall NC 28753,,35.90594517,-82.70657553,Not Accessible,
107,107,107,107,127,KOA Campground,123-1 Harmony Mountain Ln,Boone,NC,28607,NA,NA,NA,NA,8282647228,Campgrounds,721211,NA,NA,NA,NA,Private,Watauga,2,197000,NA,2023,123-1 Harmony Mountain Ln Boone NC 28607,,36.25808778,-81.6641465,Not Accessible,
108,108,108,108,128,Lake Dobson Inc,5990 Starmount Rd,Liberty,NC,27298,NA,Dexter,Blakley,President,3366859778,Campgrounds,721211,NA,NA,NA,NA,Private,Randolph,4,243000,NA,2011,5990 Starmount Rd Liberty NC 27298,,35.87429569,-79.62784954,Not Accessible,
109,109,109,109,129,Lake Hickory RV Resort,6641 Monford Dr # 50,Conover,NC,28613,8861,Eddie,Roush,Religious Dir,8282564303,Campgrounds,721211,NA,NA,NA,NA,Private,Catawba,2,138000,lakehickoryrvresort.com,1991,6641 Monford Dr # 50 Conover NC 28613,https://www.lakehickoryrvresort.com,35.80825558,-81.22976873,Not Accessible,
110,110,110,110,130,Lake James Landing,4510 Lake James Rd,Marion,NC,28752,8948,NA,NA,NA,8286522907,Campgrounds,721211,NA,NA,NA,NA,Private,McDowell,2,415000,NA,2000,4510 Lake James Rd Marion NC 28752,,35.73256793,-81.98525473,Not Accessible,
111,111,111,111,132,Lake Powhatan Rcrtnl Area,375 Wesley Branch Rd,Asheville,NC,28806,9311,William,Harrison,Manager,8286705627,Campgrounds,721211,NA,NA,NA,NA,Private,Buncombe,7,2076000,adventurepisgah.com,2004,375 Wesley Branch Rd Asheville NC 28806,https://www.adventurepisgah.com,35.48877358,-82.62647948,Accessible,https://www.adventurepisgah.com
112,112,112,112,133,Lake Reidsville & Hunt,630 Water Works Rd,Reidsville,NC,27320,1511,Donna,Chilton,Manager,3363494738,Campgrounds,721211,455219,445110,441210,624221,Municipal,Rockingham,10,NA,riseupreidsville.com,1886,630 Water Works Rd Reidsville NC 27320,https://www.riseupreidsville.com,36.29758452,-79.68527565,Accessible,https://www.riseupreidsville.com
113,113,113,113,134,Lakewood RV Resort,15 Timmie Ln,Flat Rock,NC,28731,4757,Bill,Hoffman,Owner,8286979523,Campgrounds,721211,721199,721211,NA,NA,Private,Henderson,4,912000,lakewoodrvresort.com,1990,15 Timmie Ln Flat Rock NC 28731,https://www.lakewoodrvresort.com,35.30092176,-82.40139274,Accessible,https://www.lakewoodrvresort.com
114,114,114,114,135,Lanier's Campground,1161 Spot Ln,Surf City,NC,28445,6861,Donna,Lanier,Owner,9103289431,Campgrounds,721211,NA,NA,NA,NA,Private,Pender,12,1016000,theinletrv.com,1984,1161 Spot Ln Surf City NC 28445,https://www.theinletrv.com,34.43167447,-77.57029356,Accessible,https://www.theinletrv.com
115,115,115,115,137,Laurel Bank Campground,350 Campers Ln,Canton,NC,28716,5732,Sherrie,Mcarthur,Manager,8282358940,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,1,128000,NA,1971,350 Campers Ln Canton NC 28716,,35.41377456,-82.812684,Not Accessible,
116,116,116,116,138,Lazy Acres Campground,821 Lazy Acres St,Fayetteville,NC,28306,7121,Robert,Clark,Owner,9104259218,Campgrounds,721211,721211,NA,NA,NA,Private,Cumberland,1,106000,spaciousskiescampgrounds.com,1967,821 Lazy Acres St Fayetteville NC 28306,https://www.spaciousskiescampgrounds.com,34.97442816,-78.88768404,Accessible,https://www.spaciousskiescampgrounds.com
117,117,117,117,140,Linney's Mill,4635 Linneys Mill Rd,Union Grove,NC,28689,9025,William C,Linney,Owner,7045922075,Campgrounds,721211,459130,NA,NA,NA,Private,Iredell,1,78000,linneysmill.com,2011,4635 Linneys Mill Rd Union Grove NC 28689,https://www.linneysmill.com,36.02687425,-81.02481661,Not Accessible,
118,118,118,118,141,Linville Fall Trailer,717 Gurney Franklin Rd,Newland,NC,28657,NA,NA,NA,NA,8287652681,Campgrounds,721211,NA,NA,NA,NA,Private,Avery,2,158000,NA,2006,717 Gurney Franklin Rd Newland NC 28657,,35.95693139,-81.9528908,Not Accessible,
119,119,119,119,144,Little Campground,564 Curtis Creek Rd,Elk Park,NC,28622,NA,NA,NA,NA,8287338412,Campgrounds,721211,561510,NA,NA,NA,Private,Avery,2,158000,thelittlecampground.com,2022,564 Curtis Creek Rd Elk Park NC 28622,https://www.thelittlecampground.com,36.16633408,-81.94058262,Accessible,https://www.thelittlecampground.com
120,120,120,120,145,Living Waters Campground,218 Trout Pond Rd,Bakersville,NC,28705,7999,Janet,Wyatt,Manager,8286882000,Campgrounds,721211,NA,NA,NA,NA,Private,Mitchell,4,284000,livingwaterscampground.com,2005,218 Trout Pond Rd Bakersville NC 28705,https://www.livingwaterscampground.com,36.05940403,-82.11971646,Accessible,https://www.livingwaterscampground.com
121,121,121,121,146,Love Valley Camp Ground,135 Pless Ln,Statesville,NC,28625,1230,Wendy,Thomas,Owner,7045922231,Campgrounds,721211,NA,NA,NA,NA,Private,Iredell,1,112000,NA,2009,135 Pless Ln Statesville NC 28625,,35.98246726,-80.98719673,Not Accessible,
122,122,122,122,147,Lucky Strike,251 Lucky Strike Dr,Marion,NC,28752,7993,Doug,Mccormick,Owner,8287384893,Campgrounds,721211,713950,NA,NA,NA,Private,McDowell,2,415000,luckystrikegoldandgem.com,2009,251 Lucky Strike Dr Marion NC 28752,https://www.luckystrikegoldandgem.com,35.55213054,-81.96450117,Accessible,https://www.luckystrikegoldandgem.com
123,123,123,123,148,Lumber River Campground,429 Tar Lndg,Evergreen,NC,28438,9798,Billy,Williamson,Owner,9106549985,Campgrounds,721211,NA,NA,NA,NA,Private,Columbus,2,165000,lumberrivercampground.com,2011,429 Tar Lndg Evergreen NC 28438,https://www.lumberrivercampground.com,34.39701835,-78.96536953,Accessible,https://www.lumberrivercampground.com
124,124,124,124,149,Lumberton/I-95 KOA Journey,465 Kenric Rd,Lumberton,NC,28360,4598,NA,NA,NA,9107394372,Campgrounds,721211,721214,721211,712190,NA,Private,Robeson,17,1660000,koa.com,2015,465 Kenric Rd Lumberton NC 28360,https://www.koa.com,34.60485733,-79.09911326,Accessible,https://www.koa.com
125,125,125,125,151,Mayberry Campground,114 Bunker Rd,Mt Airy,NC,27030,NA,Kale,East,Manager,3367896199,Campgrounds,721211,NA,NA,NA,NA,Private,Surry,2,101000,mayberrycampground.com,2007,114 Bunker Rd Mt Airy NC 27030,https://www.mayberrycampground.com,36.45225093,-80.63609638,Not Accessible,
126,126,126,126,153,Mi Mountain Campground,151 Mi Mountain Rd,Franklin,NC,28734,2406,Gregory,Hoover,Owner,8285246155,Campgrounds,721211,721211,NA,NA,NA,Private,Macon,2,345000,mimountaincampground.com,1999,151 Mi Mountain Rd Franklin NC 28734,https://www.mimountaincampground.com,35.22059812,-83.35210437,Accessible,https://www.mimountaincampground.com
127,127,127,127,155,Midway Campground & RV Park,114 Midway Dr,Statesville,NC,28625,1436,Randy,Jenkins,Owner,7045467615,Campgrounds,721211,424720,713940,NA,NA,Private,Iredell,3,285000,midwaycampground.com,1996,114 Midway Dr Statesville NC 28625,https://www.midwaycampground.com,35.86563393,-80.70692839,Accessible,https://www.midwaycampground.com
128,128,128,128,159,Moravian Falls Campground,536 Falls Rd,Moravian Falls,NC,28654,NA,Ken,Wike,Owner,3366676150,Campgrounds,721211,NA,NA,NA,NA,Private,Wilkes,2,272000,moravianfallscampground.com,1999,536 Falls Rd Moravian Falls NC 28654,https://www.moravianfallscampground.com,36.08693881,-81.18988385,Accessible,https://www.moravianfallscampground.com
129,129,129,129,160,Mountain River Family Cmpgrnd,67 Hawks Lndg,Burnsville,NC,28714,4938,Kimberly,Gunter,Manager,8280001111,Campgrounds,721211,NA,NA,NA,NA,Private,Yancey,2,142000,NA,2017,67 Hawks Lndg Burnsville NC 28714,,35.85741723,-82.18484757,Not Accessible,
130,130,130,130,162,Mt Pisgah Campgrounds,408 Blue Ridge Pkwy,Canton,NC,28716,NA,NA,NA,NA,8286482644,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,1,128000,NA,2001,408 Blue Ridge Pkwy Canton NC 28716,,35.39626643,-82.76192296,Not Accessible,
131,131,131,131,164,Myers Camp Grounds,150 Fred Lanier Rd,Mocksville,NC,27028,8226,NA,NA,NA,3364927736,Campgrounds,721211,NA,NA,NA,NA,Private,Davie,2,190000,NA,2011,150 Fred Lanier Rd Mocksville NC 27028,,35.92378118,-80.65711842,Not Accessible,
132,132,132,132,166,New Bern Campground LLC,1900 Eastwood Rd # 10,Wilmington,NC,28403,7206,Joel,Tomaselli,Manager,9100001111,Campgrounds,721211,NA,NA,NA,NA,Private,New Hanover,4,969000,gocampingamerica.com,2015,1900 Eastwood Rd # 10 Wilmington NC 28403,https://www.gocampingamerica.com,34.22412352,-77.82379461,Not Accessible,
133,133,133,133,167,New Bern KOA Holiday,1565 B St,New Bern,NC,28560,8925,Pat,Holtzclaw,Manager,2526382556,Campgrounds,721211,721214,721211,712190,NA,Private,Craven,6,641000,koa.com,2002,1565 B St New Bern NC 28560,https://www.koa.com,35.13568658,-77.02766387,Accessible,https://www.koa.com
134,134,134,134,169,Norwood Camping Resort,1216 Berry Hill Dr,Norwood,NC,28128,6580,Burt,Slater,Owner,7044743800,Campgrounds,721211,424720,NA,NA,NA,Private,Stanly,2,184000,NA,1984,1216 Berry Hill Dr Norwood NC 28128,,35.249308,-80.1027632,Not Accessible,
135,135,135,135,170,Ocean Aire Camp World Inc,2614 Holden Beach Rd SW,Holden Beach,NC,28462,5340,Carson H,Durham III,Owner,9108429072,Campgrounds,721211,NA,NA,NA,NA,Private,Brunswick,6,562000,oceanairetravelpark.com,1984,2614 Holden Beach Rd SW Holden Beach NC 28462,https://www.oceanairetravelpark.com,33.92903307,-78.29326836,Not Accessible,
136,136,136,136,171,Ocean Breeze Family Camping,2717 Destiny Catilyn Ave SW,Supply,NC,28462,3469,Shelba,Caison,Owner,9108428310,Campgrounds,721211,721211,NA,NA,NA,Private,Brunswick,4,375000,oceanbreezefamilycampground.com,2012,2717 Destiny Catilyn Ave SW Supply NC 28462,https://www.oceanbreezefamilycampground.com,33.933573,-78.2631812,Not Accessible,
137,137,137,137,173,Old Corundum Millsite,80 Nickajack Rd # 33,Franklin,NC,28734,915,Mac,Stanfield,Owner,8285244663,Campgrounds,721211,NA,NA,NA,NA,Private,Macon,2,345000,NA,1997,80 Nickajack Rd # 33 Franklin NC 28734,,35.13857101,-83.31659603,Not Accessible,
138,138,138,138,175,Orchard Lake Campground,460 Orchard Lake Dr,Saluda,NC,28773,9778,Kirk,Hall,Owner,8287493901,Campgrounds,721211,NA,NA,NA,NA,Private,Polk,6,1367000,orchardlakecampground.com,1990,460 Orchard Lake Dr Saluda NC 28773,https://www.orchardlakecampground.com,35.19870757,-82.35502403,Accessible,https://www.orchardlakecampground.com
139,139,139,139,176,Orchard Park Camp Grounds,957 Whitesides Rd,Forest City,NC,28043,7608,Charlie,Brooks,Owner,8283952084,Campgrounds,721211,NA,NA,NA,NA,Private,Rutherford,2,192000,NA,2021,957 Whitesides Rd Forest City NC 28043,,35.38398442,-81.91950159,Not Accessible,
140,140,140,140,178,Outdoor World Corp,561 Fleming Dairy Rd,Littleton,NC,27850,7941,Peggy,Light,Manager,2525862342,Campgrounds,721211,721211,NA,NA,NA,Private,Warren,10,678000,thousandtrails.com,1934,561 Fleming Dairy Rd Littleton NC 27850,https://www.thousandtrails.com,36.48123002,-77.9137986,Accessible,https://www.thousandtrails.com
141,141,141,141,179,Outer Banks West/Currituck,1631 Waterlily Rd,Coinjock,NC,27923,9721,NA,NA,NA,2524532732,Campgrounds,721211,721214,721211,NA,NA,Private,Currituck,4,4.00E+05,koa.com,2018,1631 Waterlily Rd Coinjock NC 27923,https://www.koa.com,36.4256294,-75.92572379,Accessible,https://www.koa.com
142,142,142,142,180,Park Place RV Park,501 S Allen Rd,Flat Rock,NC,28731,9447,Jamey,Heatherly,Owner,8286933831,Campgrounds,721211,NA,NA,NA,NA,Private,Henderson,1,228000,parkplacervpark.com,1989,501 S Allen Rd Flat Rock NC 28731,https://www.parkplacervpark.com,35.29713855,-82.41565913,Not Accessible,
143,143,143,143,181,Penland Point LLC,17 Joshua Ridge Rd,Etowah,NC,28729,NA,Wiley,Penland,Manager,8288917027,Campgrounds,721211,NA,NA,NA,NA,Private,Henderson,2,456000,vcnet.com,2011,17 Joshua Ridge Rd Etowah NC 28729,https://www.vcnet.com,35.33789832,-82.6084575,Not Accessible,
144,144,144,144,182,Persimmon Creek Camp Ground,200 Sunny Point Rd,Murphy,NC,28906,7378,Karen,Tipsword,Owner,8286445800,Campgrounds,721211,NA,NA,NA,NA,Private,Cherokee,2,83000,persimmoncreekrvpark.com,2009,200 Sunny Point Rd Murphy NC 28906,https://www.persimmoncreekrvpark.com,35.03288901,-84.20794796,Accessible,https://www.persimmoncreekrvpark.com
145,145,145,145,183,Pierce RV Park-Williamston NC,2295 Garrett Rd,Williamston,NC,27892,8309,James,Pierce,Owner,2527990111,Campgrounds,721211,NA,NA,NA,NA,Private,Martin,2,157000,NA,2011,2295 Garrett Rd Williamston NC 27892,,35.82891953,-77.08841447,Not Accessible,
146,146,146,146,184,Pines RV Park & Cabins,4724 Murphy Rd,Franklin,NC,28734,7844,Pat,Ferrante,Owner,8285244490,Campgrounds,721211,NA,NA,NA,NA,Private,Macon,2,345000,thepinesrvpark.com,2003,4724 Murphy Rd Franklin NC 28734,https://www.thepinesrvpark.com,35.15121269,-83.46591402,Accessible,https://www.thepinesrvpark.com
147,147,147,147,185,Pisgah Forest Campground LLC,131 Red Bird Ln,Penrose,NC,28766,6101,Tanya,West,Manager,8280001111,Campgrounds,721211,NA,NA,NA,NA,Private,Transylvania,2,337000,NA,2018,131 Red Bird Ln Penrose NC 28766,,35.24459413,-82.6330069,Not Accessible,
148,148,148,148,186,Pop & Mom's Campground,157 Pop N Mom Ln,Dobson,NC,27017,7608,Tim,Whitt,Owner,3363524630,Campgrounds,721211,NA,NA,NA,NA,Private,Surry,1,51000,NA,2008,157 Pop N Mom Ln Dobson NC 27017,,36.45351286,-80.76144515,Not Accessible,
149,149,149,149,187,Popular Point Campground,558 Beaver Creek Rd,Apex,NC,27502,NA,S,Mole,Manager,9193620586,Campgrounds,721211,NA,NA,NA,NA,Private,Chatham,2,264000,ncparks.gov,2015,558 Beaver Creek Rd Apex NC 27502,https://www.ncparks.gov,35.72840622,-79.00456296,Accessible,https://www.ncparks.gov
150,150,150,150,189,Pride RV Resort,4394 Jonathan Creek Rd,Waynesville,NC,28785,9857,Jerry,Kerr,Manager,8289261645,Campgrounds,721211,721199,NA,NA,NA,Private,Haywood,5,639000,pridervresort.com,1997,4394 Jonathan Creek Rd Waynesville NC 28785,https://www.pridervresort.com,35.58354908,-83.01167348,Accessible,https://www.pridervresort.com
151,151,151,151,190,R V Resort At Carolina Cross,415 Wallace Fork Rd,Roanoke Rapids,NC,27870,8449,Fred,Israel,Owner,2525389776,Campgrounds,721211,NA,NA,NA,NA,Private,Halifax,1,86000,033b649.netsolhost.com,2007,415 Wallace Fork Rd Roanoke Rapids NC 27870,https://www.033b649.netsolhost.com,36.4066845,-77.62527447,Not Accessible,
152,152,152,152,191,Raccoon Holler Campground,493 Raccoon Hollow Rd,Jefferson,NC,28640,9764,Janet,Miller,Manager,3369822706,Campgrounds,721211,721211,NA,NA,NA,Private,Ashe,6,523000,raccoonholler.com,1986,493 Raccoon Hollow Rd Jefferson NC 28640,https://www.raccoonholler.com,36.35693483,-81.37404675,Accessible,https://www.raccoonholler.com
153,153,153,153,192,Racetrack Campground,490 Fox Rd,Marston,NC,28363,8518,Ted,Kelly,Owner,9105824673,Campgrounds,721211,NA,NA,NA,NA,Private,Richmond,1,99000,NA,2001,490 Fox Rd Marston NC 28363,,34.94986403,-79.63999802,Not Accessible,
154,154,154,154,193,Real Mccoy Family Campground,286 Log Dr,Statesville,NC,28677,1763,John,Mccoy,Owner,7048738820,Campgrounds,721211,NA,NA,NA,NA,Private,Iredell,2,224000,NA,2000,286 Log Dr Statesville NC 28677,,35.7264865,-80.79281664,Not Accessible,
155,155,155,155,194,Refuge RV Park,2881 N Carolina Highway 345,Wanchese,NC,27981,NA,Bonnie,Hudgins,Other,2524731096,Campgrounds,721211,NA,NA,NA,NA,Private,Dare,1,220000,therefuge-roanokeisland.com,2008,2881 N Carolina Highway 345 Wanchese NC 27981,https://www.therefuge-roanokeisland.com,35.85402918,-75.64468638,Accessible,https://www.therefuge-roanokeisland.com
156,156,156,156,195,Regal Resort,1498 White Lake Dr,Elizabethtown,NC,28337,6306,Susan,Inman,Owner,9108622427,Campgrounds,721211,NA,NA,NA,NA,Private,Bladen,3,367000,thegrandregal.com,1998,1498 White Lake Dr Elizabethtown NC 28337,https://www.thegrandregal.com,34.63691608,-78.48377338,Accessible,https://www.thegrandregal.com
157,157,157,157,196,Rider's Roost Motorcycle Resrt,100 Elk Creek Darby Rd,Ferguson,NC,28624,9251,David,Lucas,Owner,3369738405,Campgrounds,721211,NA,NA,NA,NA,Private,Wilkes,2,272000,ridersroost.com,1990,100 Elk Creek Darby Rd Ferguson NC 28624,https://www.ridersroost.com,36.06984179,-81.40155599,Accessible,https://www.ridersroost.com
158,158,158,158,197,Rippling Waters RV Park,3962 Soco Rd,Maggie Valley,NC,28751,9507,Alan,Digiovanni,Owner,8289267787,Campgrounds,721211,NA,NA,NA,NA,Private,Haywood,2,256000,maggievalleyrvpark.com,1996,3962 Soco Rd Maggie Valley NC 28751,https://www.maggievalleyrvpark.com,35.51787512,-83.09485824,Accessible,https://www.maggievalleyrvpark.com
